순번,제품군,스마트타입,시리즈,미디어,제조사(한),제조사(EN),모델(표시),섀시코드,연식(中),연식(EN),세부분류(한),Category(EN),앰비언트세부,부속옵션,구성·특징(中),구성·특징(한),Config(EN),세트(中),세트(EN),등수(灯),핸들(中),핸들(한),핸들(EN),호환차종(中),워터마크,비고,원본파일명,표준파일명,분류경로,해상도(px),용량(MB),썸네일
72,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,비토,,16-23款,2016-2023,상용밴 개조,Commercial-Conversion,,,氛围灯 商改 改结构 钢琴黑 幻彩,앰비언트라이트 상용개조 구조개조 피아노블랙 환색,Ambient-Light-Commercial-Mod-Structure-Mod-Piano-Black-RGB,,,24,,,,,Y,,16-23款奔驰威霆商改中控改结构氛围灯（幻彩）钢琴黑-24灯（水印版）.jpg,072_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-Structure-Mod-Piano-Black-RGB_24L.jpg,images/01_Ambient-Light/Mercedes-Benz/Vito/2016-2023/072_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-Structure-Mod-Piano-Black-RGB_24L.jpg,2000x2000,1.2,thumbs/072_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-Structure-Mod-Piano-Black-RGB_24L.jpg
73,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,비토,,16-23款,2016-2023,상용밴 개조,Commercial-Conversion,,,氛围灯 商改 结构未改 改结构 碳钎纹 幻彩,앰비언트라이트 상용개조 구조무개조 구조개조 카본무늬 환색,Ambient-Light-Commercial-Mod-No-Structure-Mod-Structure-Mod-Carbon-Pattern-RGB,,,22,,,,,Y,,16-23款奔驰威霆商改结构未改氛围灯（幻彩）碳钎纹-22灯（水印版）.jpg,073_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-No-Structure-Mod-Structure-Mod-Carbon-Pattern-RGB_22L.jpg,images/01_Ambient-Light/Mercedes-Benz/Vito/2016-2023/073_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-No-Structure-Mod-Structure-Mod-Carbon-Pattern-RGB_22L.jpg,2000x2000,1.32,thumbs/073_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-No-Structure-Mod-Structure-Mod-Carbon-Pattern-RGB_22L.jpg
74,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,비토,,16-23款,2016-2023,상용밴 개조,Commercial-Conversion,,,氛围灯 商改 结构未改 改结构 钢琴黑 幻彩,앰비언트라이트 상용개조 구조무개조 구조개조 피아노블랙 환색,Ambient-Light-Commercial-Mod-No-Structure-Mod-Structure-Mod-Piano-Black-RGB,,,22,,,,,Y,,16-23款奔驰威霆商改结构未改氛围灯（幻彩）钢琴黑-22灯（水印版）.jpg,074_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-No-Structure-Mod-Structure-Mod-Piano-Black-RGB_22L.jpg,images/01_Ambient-Light/Mercedes-Benz/Vito/2016-2023/074_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-No-Structure-Mod-Structure-Mod-Piano-Black-RGB_22L.jpg,2000x2000,1.19,thumbs/074_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-No-Structure-Mod-Structure-Mod-Piano-Black-RGB_22L.jpg
75,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,17-20款,2017-2020,앰비언트 라이트,Ambient-Light,세트형,,,,,四件套,4-piece,,,,,,Y,,17-20款奔驰E级 四件套（水印版）.jpg,075_Mercedes-Benz_E-Class_2017-2020_4-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2017-2020/075_Mercedes-Benz_E-Class_2017-2020_4-piece.jpg,2000x2000,1.18,thumbs/075_Mercedes-Benz_E-Class_2017-2020_4-piece.jpg
76,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,A클래스,W177,19-23款,2019-2023,앰비언트 라이트,Ambient-Light,세트형,,氛围灯,앰비언트라이트,Ambient-Light,6件套,6-piece,39,,,,,Y,,19-23款奔驰A级W177氛围灯RGB6件套-39灯（水印版）.jpg,076_Mercedes-Benz_A-Class_W177_2019-2023_Ambient-Light_6-piece_39L.jpg,images/01_Ambient-Light/Mercedes-Benz/A-Class/2019-2023/076_Mercedes-Benz_A-Class_W177_2019-2023_Ambient-Light_6-piece_39L.jpg,2000x2000,1.24,thumbs/076_Mercedes-Benz_A-Class_W177_2019-2023_Ambient-Light_6-piece_39L.jpg
77,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,A클래스,W177,19-23款,2019-2023,앰비언트 라이트,Ambient-Light,세트형,,氛围灯,앰비언트라이트,Ambient-Light,五件套,5-piece,37,,,,,Y,,19-23款奔驰A级W177氛围灯RGB五件套-37灯（水印版）.jpg,077_Mercedes-Benz_A-Class_W177_2019-2023_Ambient-Light_5-piece_37L.jpg,images/01_Ambient-Light/Mercedes-Benz/A-Class/2019-2023/077_Mercedes-Benz_A-Class_W177_2019-2023_Ambient-Light_5-piece_37L.jpg,2000x2000,1.23,thumbs/077_Mercedes-Benz_A-Class_W177_2019-2023_Ambient-Light_5-piece_37L.jpg
78,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,A클래스,W177,19-25款,2019-2025,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,七件套,7-piece,,,,,,Y,,19-25款奔驰A级W177氛围灯中控饰板（幻彩）七件套（水印版）.jpg,078_Mercedes-Benz_A-Class_W177_2019-2025_Ambient-Light-RGB_7-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/A-Class/2019-2025/078_Mercedes-Benz_A-Class_W177_2019-2025_Ambient-Light-RGB_7-piece.jpg,2000x2000,1.1,thumbs/078_Mercedes-Benz_A-Class_W177_2019-2025_Ambient-Light-RGB_7-piece.jpg
79,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,G클래스,W464,19-25款,2019-2025,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,三件套,3-piece,,,,,,Y,,19-25款奔驰G级W464氛围灯（幻彩）三件套（水印版）.jpg,079_Mercedes-Benz_G-Class_W464_2019-2025_Ambient-Light-RGB_3-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/G-Class/2019-2025/079_Mercedes-Benz_G-Class_W464_2019-2025_Ambient-Light-RGB_3-piece.jpg,2000x2000,0.78,thumbs/079_Mercedes-Benz_G-Class_W464_2019-2025_Ambient-Light-RGB_3-piece.jpg
80,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,CLA,W118,20-23款,2020-2023,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,六件套,6-piece,,,,,,Y,,20-23款奔驰CLA W118氛围灯（幻彩）六件套（水印版）.jpg,080_Mercedes-Benz_CLA_W118_2020-2023_Ambient-Light-RGB_6-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/CLA/2020-2023/080_Mercedes-Benz_CLA_W118_2020-2023_Ambient-Light-RGB_6-piece.jpg,2000x2000,1.05,thumbs/080_Mercedes-Benz_CLA_W118_2020-2023_Ambient-Light-RGB_6-piece.jpg
81,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,W167,20-25款,2020-2025,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,两件套,2-piece,,,,,,Y,,20-25款奔驰GLE GLS W167氛围灯（幻彩）两件套（水印版）.jpg,081_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-RGB_2-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2020-2025/081_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-RGB_2-piece.jpg,2000x2000,0.9,thumbs/081_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-RGB_2-piece.jpg
82,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,W167,20-25款,2020-2025,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,五件套,5-piece,,,,,,Y,,20-25款奔驰GLE GLS W167氛围灯（幻彩）五件套（水印版）.jpg,082_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-RGB_5-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2020-2025/082_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-RGB_5-piece.jpg,2000x2000,0.92,thumbs/082_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-RGB_5-piece.jpg
83,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,W167,20-25款,2020-2025,앰비언트 라이트,Ambient-Light,등수형,발광트위터커버,氛围灯 高音 发光高音罩 幻彩,앰비언트라이트 트위터 발광트위터커버 환색,Ambient-Light-Tweeter-Illuminated-Tweeter-Cover-RGB,,,,,,,,Y,,20-25款奔驰GLE GLS W167氛围灯（幻彩）发光高音罩（水印版）.jpg,083_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-Tweeter-Illuminated-Tweeter-Cover-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2020-2025/083_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-Tweeter-Illuminated-Tweeter-Cover-RGB.jpg,2000x2000,0.97,thumbs/083_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-Tweeter-Illuminated-Tweeter-Cover-RGB.jpg
84,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,W167,20-25款,2020-2025,앰비언트 라이트,Ambient-Light,세트형,발광브래킷,氛围灯 发光支架 幻彩,앰비언트라이트 발광브래킷 환색,Ambient-Light-Illuminated-Bracket-RGB,四件套,4-piece,,,,,,Y,,20-25款奔驰GLE GLS W167氛围灯（幻彩）四件套 四门发光支架（水印版）.jpg,084_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-Illuminated-Bracket-RGB_4-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2020-2025/084_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-Illuminated-Bracket-RGB_4-piece.jpg,2000x2000,0.87,thumbs/084_Mercedes-Benz_GLE_W167_2020-2025_Ambient-Light-Illuminated-Bracket-RGB_4-piece.jpg
85,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,W167,20-25款,2020-2025,발광 부품,Illuminated-Part,,,出风口 64色,송풍구 64색,Air-Vent-64-Color,,,,,,,,Y,,20-25款奔驰GLE GLS级-W167  64色发光出风口（水印版）.jpg,085_Mercedes-Benz_GLE_W167_2020-2025_Air-Vent-64-Color.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2020-2025/085_Mercedes-Benz_GLE_W167_2020-2025_Air-Vent-64-Color.jpg,2000x2000,0.92,thumbs/085_Mercedes-Benz_GLE_W167_2020-2025_Air-Vent-64-Color.jpg
86,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,W213,21-23款,2021-2023,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,五件套,5-piece,,,,,,Y,,21-23款奔驰E级W213氛围灯（主动式幻彩）五件套（水印版）.jpg,086_Mercedes-Benz_E-Class_W213_2021-2023_Active-RGB-Ambient-Light-RGB_5-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2021-2023/086_Mercedes-Benz_E-Class_W213_2021-2023_Active-RGB-Ambient-Light-RGB_5-piece.jpg,2000x2000,1.27,thumbs/086_Mercedes-Benz_E-Class_W213_2021-2023_Active-RGB-Ambient-Light-RGB_5-piece.jpg
87,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,,22-23款,2022-2023,앰비언트 라이트,Ambient-Light,등수형,,马鞍,새들,Saddle,,,,,,,,Y,,22-23款奔驰C级 中控+马鞍（水印版）.jpg,087_Mercedes-Benz_C-Class_2022-2023_Saddle.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2022-2023/087_Mercedes-Benz_C-Class_2022-2023_Saddle.jpg,2000x2000,0.86,thumbs/087_Mercedes-Benz_C-Class_2022-2023_Saddle.jpg
88,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,,22-23款,2022-2023,발광 부품,Illuminated-Part,,,出风口,송풍구,Air-Vent,,,,,,,,Y,,22-23款奔驰C级 前后涡轮出风口（水印版）.jpg,088_Mercedes-Benz_C-Class_2022-2023_Air-Vent.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2022-2023/088_Mercedes-Benz_C-Class_2022-2023_Air-Vent.jpg,2000x2000,0.98,thumbs/088_Mercedes-Benz_C-Class_2022-2023_Air-Vent.jpg
89,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,,22-23款,2022-2023,앰비언트 라이트,Ambient-Light,세트형,,,,,七件套,7-piece,,,,,,Y,,22-23款奔驰C级七件套（水印版）.jpg,089_Mercedes-Benz_C-Class_2022-2023_7-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2022-2023/089_Mercedes-Benz_C-Class_2022-2023_7-piece.jpg,2000x2000,1.18,thumbs/089_Mercedes-Benz_C-Class_2022-2023_7-piece.jpg
90,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,,22-23款,2022-2023,앰비언트 라이트,Ambient-Light,세트형,,,,,四件套,4-piece,,,,,,Y,,22-23款奔驰E级四件套（水印版）.jpg,090_Mercedes-Benz_E-Class_2022-2023_4-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2022-2023/090_Mercedes-Benz_E-Class_2022-2023_4-piece.jpg,2000x2000,1.17,thumbs/090_Mercedes-Benz_E-Class_2022-2023_4-piece.jpg
91,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,,22-23款,2022-2023,앰비언트 라이트,Ambient-Light,세트형,,,,,七件套,7-piece,,,,,,Y,,22-23款奔驰GLC级七件套（水印版）.jpg,091_Mercedes-Benz_GLC_2022-2023_7-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2022-2023/091_Mercedes-Benz_GLC_2022-2023_7-piece.jpg,2000x2000,1.23,thumbs/091_Mercedes-Benz_GLC_2022-2023_7-piece.jpg
92,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,22-25款,2022-2025,앰비언트 라이트,Ambient-Light,세트형,센터콘솔라이트바,主动式幻彩 氛围灯 中控灯条 灯条 幻彩,액티브환색 앰비언트라이트 센터콘솔라이트바 라이트바 환색,Active-RGB-Ambient-Light-Center-Strip-Light-Strip-RGB,九件套,9-piece,,,,,,Y,,22-25款奔驰C级W206氛围灯（主动式幻彩）九件套 带中控灯条（水印版）.jpg,092_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-Center-Strip-Light-Strip-RGB_9-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2022-2025/092_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-Center-Strip-Light-Strip-RGB_9-piece.jpg,2000x2000,1.34,thumbs/092_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-Center-Strip-Light-Strip-RGB_9-piece.jpg
93,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,22-25款,2022-2025,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,九件套,9-piece,,右肽,우핸들,RHD,右肽,Y,,22-25款奔驰C级W206氛围灯（主动式幻彩）九件套【右肽】（水印版）.jpg,093_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_9-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2022-2025/093_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_9-piece_RHD.jpg,2000x2000,1.36,thumbs/093_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_9-piece_RHD.jpg
94,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,22-25款,2022-2025,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,九件套,9-piece,,,,,,Y,,22-25款奔驰C级W206氛围灯（主动式幻彩）九件套（水印版）.jpg,094_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_9-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2022-2025/094_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_9-piece.jpg,2000x2000,1.37,thumbs/094_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_9-piece.jpg
95,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,22-25款,2022-2025,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,八件套,8-piece,,右肽,우핸들,RHD,,Y,,22-25款奔驰C级W206氛围灯（主动式幻彩）八件套（右肽）（水印版）.jpg,095_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_8-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2022-2025/095_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_8-piece_RHD.jpg,2000x2000,1.33,thumbs/095_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_8-piece_RHD.jpg
96,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,22-25款,2022-2025,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,八件套,8-piece,,,,,,Y,,22-25款奔驰C级W206氛围灯（主动式幻彩）八件套（水印版）.jpg,096_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_8-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2022-2025/096_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_8-piece.jpg,2000x2000,1.33,thumbs/096_Mercedes-Benz_C-Class_W206_2022-2025_Active-RGB-Ambient-Light-RGB_8-piece.jpg
97,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,22-25款,2022-2025,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 马鞍 幻彩,앰비언트라이트 새들 환색,Ambient-Light-Saddle-RGB,,,,,,,,Y,,22-25款奔驰C级W206氛围灯（幻彩）中控+马鞍（水印版）.jpg,097_Mercedes-Benz_C-Class_W206_2022-2025_Ambient-Light-Saddle-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2022-2025/097_Mercedes-Benz_C-Class_W206_2022-2025_Ambient-Light-Saddle-RGB.jpg,2000x2000,0.76,thumbs/097_Mercedes-Benz_C-Class_W206_2022-2025_Ambient-Light-Saddle-RGB.jpg
98,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,22-25款,2022-2025,앰비언트 라이트,Ambient-Light,등수형,발광커버,氛围灯 发光盖板 幻彩,앰비언트라이트 발광커버 환색,Ambient-Light-Illuminated-Cover-RGB,,,,,,,,Y,,22-25款奔驰C级W206氛围灯（幻彩）中置发光盖板（水印版）.jpg,098_Mercedes-Benz_C-Class_W206_2022-2025_Ambient-Light-Illuminated-Cover-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2022-2025/098_Mercedes-Benz_C-Class_W206_2022-2025_Ambient-Light-Illuminated-Cover-RGB.jpg,2000x2000,0.92,thumbs/098_Mercedes-Benz_C-Class_W206_2022-2025_Ambient-Light-Illuminated-Cover-RGB.jpg
99,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,W254,23-25款,2023-2025,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,八件套,8-piece,,右肽,우핸들,RHD,右肽,Y,,23-25款奔驰GLC W254氛围灯（主动式幻彩）八件套【右肽】（水印版）.jpg,099_Mercedes-Benz_GLC_W254_2023-2025_Active-RGB-Ambient-Light-RGB_8-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2023-2025/099_Mercedes-Benz_GLC_W254_2023-2025_Active-RGB-Ambient-Light-RGB_8-piece_RHD.jpg,2000x2000,1.21,thumbs/099_Mercedes-Benz_GLC_W254_2023-2025_Active-RGB-Ambient-Light-RGB_8-piece_RHD.jpg
100,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,W254,23-25款,2023-2025,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,两件套,2-piece,,,,,,Y,,23-25款奔驰W254氛围灯（幻彩）高配两件套（水印版）.jpg,100_Mercedes-Benz_GLC_W254_2023-2025_Ambient-Light-RGB_2-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2023-2025/100_Mercedes-Benz_GLC_W254_2023-2025_Ambient-Light-RGB_2-piece.jpg,2000x2000,0.86,thumbs/100_Mercedes-Benz_GLC_W254_2023-2025_Ambient-Light-RGB_2-piece.jpg
101,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,W214,24-25款,2024-2025,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,两件套,2-piece,,,,,,Y,,24-25款奔驰E级W214氛围灯（幻彩）两件套（水印版）.jpg,101_Mercedes-Benz_E-Class_W214_2024-2025_Ambient-Light-RGB_2-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2024-2025/101_Mercedes-Benz_E-Class_W214_2024-2025_Ambient-Light-RGB_2-piece.jpg,2000x2000,0.96,thumbs/101_Mercedes-Benz_E-Class_W214_2024-2025_Ambient-Light-RGB_2-piece.jpg
102,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,W214,24-25款,2024-2025,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,两件套,2-piece,,,,,,Y,,24-25款奔驰E级W214氛围灯（幻彩）高配两件套（水印版）.jpg,102_Mercedes-Benz_E-Class_W214_2024-2025_Ambient-Light-RGB_2-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2024-2025/102_Mercedes-Benz_E-Class_W214_2024-2025_Ambient-Light-RGB_2-piece.jpg,2000x2000,0.95,thumbs/102_Mercedes-Benz_E-Class_W214_2024-2025_Ambient-Light-RGB_2-piece.jpg
103,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,W212,10-15款,2010-2015,발광 부품,Illuminated-Part,,,出风口,송풍구,Air-Vent,,,,,,,,Y,,奔驰10-15款E机（W212）后出风口（水印版）.jpg,103_Mercedes-Benz_E-Class_W212_2010-2015_Air-Vent.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2010-2015/103_Mercedes-Benz_E-Class_W212_2010-2015_Air-Vent.jpg,2000x2000,0.79,thumbs/103_Mercedes-Benz_E-Class_W212_2010-2015_Air-Vent.jpg
104,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLA,W247,,Unknown,앰비언트 라이트,Ambient-Light,세트형,,氛围灯,앰비언트라이트,Ambient-Light,8件套,8-piece,,,,,,Y,,奔驰B级 GLB GLA W247氛围灯8件套（水印版）.jpg,104_Mercedes-Benz_GLA_W247_Unknown_Ambient-Light_8-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/GLA/_NoYear/104_Mercedes-Benz_GLA_W247_Unknown_Ambient-Light_8-piece.jpg,2000x2000,1.08,thumbs/104_Mercedes-Benz_GLA_W247_Unknown_Ambient-Light_8-piece.jpg
105,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,,Unknown,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 完美,앰비언트라이트 퍼펙트,Ambient-Light-Perfect,7件套,7-piece,,,,,,Y,,奔驰CW206 氛围灯完美7件套(水印版）.jpg,105_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light-Perfect_7-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/_NoYear/105_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light-Perfect_7-piece.jpg,2000x2000,1.03,thumbs/105_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light-Perfect_7-piece.jpg
106,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,,Unknown,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,九件套,9-piece,,,,,,Y,,奔驰C级W206主动式（幻彩）氛围灯九件套（水印版）.jpg,106_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light-RGB_9-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/_NoYear/106_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light-RGB_9-piece.jpg,2000x2000,1.2,thumbs/106_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light-RGB_9-piece.jpg
107,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,,Unknown,앰비언트 라이트,Ambient-Light,세트형,,氛围灯,앰비언트라이트,Ambient-Light,八件套,8-piece,,,,,,Y,,奔驰C级W206氛围灯八件套（水印版）.jpg,107_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light_8-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/_NoYear/107_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light_8-piece.jpg,2000x2000,1.12,thumbs/107_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light_8-piece.jpg
108,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W206,,Unknown,앰비언트 라이트,Ambient-Light,등수형,트위터,氛围灯 高音 带边框,앰비언트라이트 트위터 프레임포함,Ambient-Light-Tweeter-With-Frame,,,,,,,,Y,,奔驰C级W206氛围灯高音带边框（水印版）.jpg,108_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light-Tweeter-With-Frame.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/_NoYear/108_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light-Tweeter-With-Frame.jpg,2000x2000,0.7,thumbs/108_Mercedes-Benz_C-Class_W206_Unknown_Ambient-Light-Tweeter-With-Frame.jpg
